iter	Passed	Remaining
728	85767	31883
729	85884	31765
730	86001	31647
731	86118	31529
732	86235	31411
733	86352	31293
734	86468	31175
735	86585	31057
736	86702	30939
737	86819	30822
738	86936	30704
739	87052	30586
740	87169	30468
741	87287	30350
742	87404	30232
743	87521	30115
744	87639	29997
745	87756	29879
746	87873	29761
747	87989	29643
748	88106	29525
749	88224	29408
750	88352	29294
751	88480	29179
752	88598	29062
753	88716	28944
754	88833	28826
755	88950	28708
756	89066	28590
757	89183	28472
758	89300	28354
759	89417	28237
760	89534	28119
761	89651	28001
762	89768	27883
763	89884	27765
764	90001	27647
765	90117	27529
766	90234	27411
767	90351	27293
768	90468	27175
769	90584	27057
770	90701	26939
771	90818	26821
772	90934	26704
773	91051	26586
774	91168	26468
775	91285	26350
776	91402	26232
777	91519	26114
778	91635	25996
779	91752	25879
780	91869	25761
781	91985	25643
782	92102	25525
783	92218	25407
784	92335	25289
785	92452	25171
786	92570	25054
787	92687	24936
788	92803	24818
789	92920	24700
790	93036	24582
791	93151	24464
792	93267	24345
793	93382	24227
794	93497	24109
795	93612	23991
796	93728	23873
797	93843	23754
798	93957	23636
799	94073	23518
800	94188	23400
801	94304	23282
802	94419	23163
803	94534	23045
804	94649	22927
805	94765	22809
806	94880	22691
807	94995	22573
808	95110	22455
809	95227	22337
810	95343	22219
811	95458	22101
812	95573	21983
813	95688	21865
814	95804	21746
815	95919	21628
816	96033	21510
817	96149	21392
818	96265	21274
819	96380	21156
820	96495	21038
821	96610	20920
822	96726	20802
823	96841	20684
824	96955	20566
825	97071	20448
826	97186	20330
827	97302	20212
828	97417	20094
829	97532	19976
830	97648	19858
831	97763	19740
832	97878	19622
833	97993	19504
834	98108	19386
835	98224	19268
836	98339	19150
837	98454	19032
838	98569	18915
839	98685	18797
840	98800	18679
841	98916	18561
842	99031	18443
843	99147	18325
844	99262	18207
845	99378	18090
846	99493	17972
847	99608	17854
848	99724	17736
849	99839	17618
850	99954	17500
851	100068	17382
852	100184	17265
853	100300	17147
854	100415	17029
855	100530	16911
856	100645	16793
857	100761	16676
858	100876	16558
859	100991	16440
860	101106	16322
861	101222	16204
862	101338	16087
863	101453	15969
864	101568	15851
865	101683	15733
866	101798	15616
867	101913	15498
868	102028	15380
869	102144	15262
870	102260	15145
871	102375	15027
872	102490	14909
873	102605	14792
874	102721	14674
875	102836	14556
876	102952	14439
877	103067	14321
878	103183	14203
879	103299	14086
880	103415	13968
881	103531	13851
882	103646	13733
883	103762	13615
884	103877	13498
885	103992	13380
886	104107	13262
887	104223	13145
888	104339	13027
889	104454	12910
890	104569	12792
891	104685	12674
892	104800	12557
893	104915	12439
894	105030	12322
895	105146	12204
896	105265	12087
897	105380	11969
898	105496	11852
899	105611	11734
900	105725	11616
901	105841	11499
902	105956	11381
903	106071	11264
904	106187	11146
905	106302	11029
906	106417	10911
907	106533	10794
908	106648	10676
909	106763	10559
910	106879	10441
911	106994	10324
912	107109	10206
913	107224	10088
914	107340	9971
915	107456	9854
916	107571	9736
917	107686	9619
918	107801	9501
919	107917	9384
920	108032	9266
921	108148	9149
922	108264	9031
923	108379	8914
924	108495	8796
925	108610	8679
926	108725	8561
927	108840	8444
928	108956	8327
929	109071	8209
930	109186	8092
931	109302	7974
932	109417	7857
933	109533	7740
934	109648	7622
935	109763	7505
936	109878	7387
937	109993	7270
938	110108	7152
939	110223	7035
940	110339	6918
941	110454	6800
942	110570	6683
943	110685	6566
944	110800	6448
945	110915	6331
946	111031	6213
947	111146	6096
