iter	Passed	Remaining
564	1509	1162
565	1511	1159
566	1514	1156
567	1516	1153
568	1518	1150
569	1520	1147
570	1522	1144
571	1525	1141
572	1527	1138
573	1529	1135
574	1531	1131
575	1533	1128
576	1535	1125
577	1538	1123
578	1540	1120
579	1542	1117
580	1544	1114
581	1546	1111
582	1549	1107
583	1551	1104
584	1553	1101
585	1555	1098
586	1557	1095
587	1559	1092
588	1562	1089
589	1564	1087
590	1566	1084
591	1568	1081
592	1571	1078
593	1573	1075
594	1575	1072
595	1577	1069
596	1579	1066
597	1582	1063
598	1584	1060
599	1586	1057
600	1588	1054
601	1590	1051
602	1593	1048
603	1595	1045
604	1597	1042
605	1599	1039
606	1601	1036
607	1603	1034
608	1606	1031
609	1608	1028
610	1610	1025
611	1612	1022
612	1615	1019
613	1617	1016
614	1619	1014
615	1622	1011
616	1624	1008
617	1626	1005
618	1629	1002
619	1631	999
620	1633	996
621	1636	994
622	1638	991
623	1640	988
624	1643	985
625	1645	983
626	1647	980
627	1650	977
628	1652	974
629	1654	971
630	1657	968
631	1659	966
632	1661	963
633	1663	960
634	1666	957
635	1668	955
636	1670	952
637	1673	949
638	1675	946
639	1678	943
640	1680	941
641	1682	938
642	1685	935
643	1687	932
644	1689	929
645	1692	927
646	1694	924
647	1696	921
648	1698	918
649	1701	916
650	1703	913
651	1705	910
652	1708	907
653	1710	904
654	1712	902
655	1715	899
656	1717	896
657	1719	893
658	1722	891
659	1724	888
660	1726	885
661	1728	882
662	1731	880
663	1734	877
664	1736	874
665	1738	872
666	1741	869
667	1743	866
668	1746	863
669	1748	861
670	1750	858
671	1752	855
672	1755	852
673	1757	850
674	1759	847
675	1762	844
676	1764	841
677	1767	839
678	1769	836
679	1771	833
680	1774	831
681	1776	828
682	1778	825
683	1780	822
684	1783	820
685	1785	817
686	1787	814
687	1790	811
688	1792	809
689	1795	806
690	1797	803
691	1799	800
692	1801	798
693	1804	795
694	1806	792
695	1808	789
696	1811	787
697	1813	784
698	1815	781
699	1818	779
700	1820	776
701	1823	773
702	1825	771
703	1827	768
704	1830	765
705	1832	763
706	1834	760
707	1837	757
708	1839	755
709	1841	752
710	1844	749
711	1846	746
712	1848	744
713	1850	741
714	1853	738
715	1855	736
716	1857	733
717	1860	730
718	1862	727
719	1864	725
720	1867	722
721	1869	719
722	1871	717
723	1873	714
724	1876	711
725	1878	708
726	1880	706
727	1883	703
728	1885	701
729	1888	698
730	1890	695
731	1892	693
732	1895	690
733	1897	687
734	1899	685
735	1902	682
736	1904	679
737	1906	676
738	1909	674
739	1911	671
740	1913	668
741	1916	666
742	1918	663
743	1920	660
744	1923	658
745	1925	655
746	1928	653
747	1930	650
748	1932	647
749	1935	645
750	1937	642
751	1939	639
752	1942	637
753	1944	634
754	1946	631
755	1949	629
756	1951	626
757	1953	623
758	1956	621
759	1958	618
760	1960	615
761	1963	613
762	1965	610
763	1967	607
764	1969	605
765	1972	602
766	1974	599
767	1976	597
768	1979	594
769	1981	591
770	1983	589
771	1986	586
772	1988	583
773	1990	581
774	1993	578
775	1995	576
776	1997	573
777	2000	570
778	2002	568
779	2004	565
780	2007	562
781	2009	560
782	2012	557
783	2014	554
784	2016	552
785	2019	549
786	2021	547
787	2023	544
788	2026	541
789	2028	539
790	2030	536
791	2033	533
792	2035	531
793	2037	528
794	2040	526
795	2042	523
796	2044	520
797	2047	518
798	2049	515
799	2051	512
800	2054	510
801	2056	507
802	2058	505
803	2061	502
804	2063	499
805	2066	497
806	2068	494
807	2070	492
808	2073	489
809	2075	486
810	2077	484
811	2079	481
812	2082	478
813	2084	476
814	2086	473
815	2089	471
816	2091	468
817	2093	465
818	2095	463
819	2098	460
820	2100	457
821	2102	455
822	2105	452
823	2107	450
824	2109	447
825	2112	444
826	2114	442
827	2116	439
828	2119	437
829	2121	434
830	2123	431
831	2126	429
832	2128	426
833	2130	424
834	2133	421
835	2135	418
836	2138	416
837	2140	413
838	2142	411
839	2144	408
840	2147	405
841	2149	403
842	2152	400
843	2154	398
844	2156	395
845	2158	392
846	2161	390
847	2163	387
848	2166	385
849	2168	382
850	2170	380
851	2173	377
852	2175	374
853	2177	372
854	2180	369
855	2182	367
856	2184	364
857	2186	361
858	2189	359
859	2191	356
860	2194	354
861	2196	351
862	2198	349
863	2201	346
864	2203	343
865	2205	341
866	2208	338
867	2210	336
868	2213	333
869	2215	331
870	2218	328
871	2220	325
872	2222	323
873	2225	320
874	2227	318
875	2229	315
876	2231	313
877	2234	310
878	2236	307
879	2238	305
880	2241	302
881	2243	300
882	2245	297
883	2247	294
884	2250	292
885	2252	289
886	2255	287
887	2257	284
888	2259	282
889	2262	279
890	2264	277
891	2266	274
892	2268	271
893	2271	269
894	2273	266
895	2275	264
896	2277	261
897	2280	258
898	2282	256
899	2284	253
900	2287	251
901	2289	248
902	2291	246
903	2294	243
904	2296	241
905	2298	238
906	2300	235
907	2303	233
908	2305	230
909	2307	228
910	2310	225
911	2312	223
912	2315	220
913	2317	218
914	2319	215
915	2321	212
916	2324	210
917	2326	207
918	2328	205
919	2331	202
920	2333	200
921	2335	197
922	2338	195
923	2340	192
924	2342	189
925	2344	187
926	2347	184
927	2349	182
928	2351	179
929	2354	177
930	2356	174
931	2358	172
932	2361	169
933	2363	167
934	2365	164
935	2368	161
936	2370	159
937	2372	156
938	2374	154
939	2377	151
940	2379	149
941	2381	146
942	2383	144
943	2386	141
944	2388	139
945	2390	136
946	2392	133
947	2395	131
948	2397	128
949	2399	126
950	2401	123
951	2403	121
952	2405	118
953	2407	116
954	2410	113
955	2412	111
956	2414	108
957	2417	105
958	2419	103
959	2421	100
960	2423	98
961	2425	95
962	2428	93
963	2430	90
964	2432	88
965	2434	85
966	2436	83
967	2439	80
968	2441	78
969	2443	75
970	2445	73
971	2447	70
972	2450	67
973	2452	65
974	2454	62
975	2456	60
976	2459	57
977	2461	55
978	2463	52
979	2465	50
980	2467	47
981	2469	45
982	2472	42
983	2474	40
984	2476	37
985	2478	35
986	2480	32
987	2482	30
988	2485	27
989	2487	25
990	2489	22
991	2491	20
992	2493	17
993	2495	15
994	2498	12
995	2500	10
996	2502	7
997	2504	5
998	2506	2
999	2509	0
